epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8435,1.84349,3.02752,1.49916,0.4372,0.46914,0.41808,0.18195,1.8442,2.72459,1.55902,0.000662447,0.000662447,0.000662447
2,127.521,1.8956,2.25849,1.58696,0.49429,0.43827,0.4311,0.17831,2.08448,2.20843,1.91651,0.00131596,0.00131596,0.00131596
3,174.978,1.90704,1.9579,1.62423,0.48965,0.52469,0.4443,0.20786,1.77757,3.11331,1.70362,0.00195626,0.00195626,0.00195626
4,224.109,1.87756,1.8321,1.64881,0.50337,0.34877,0.33927,0.13036,2.37079,2.19492,2.138,0.0019406,0.0019406,0.0019406
5,271.761,1.80721,1.72506,1.57353,0.663,0.2186,0.26049,0.13703,1.98303,3.42817,1.75819,0.0019208,0.0019208,0.0019208
6,322.259,1.78693,1.68385,1.54786,0.62644,0.61073,0.64357,0.30615,1.71952,1.61271,1.55598,0.001901,0.001901,0.001901
7,371.016,1.74866,1.60907,1.55079,0.78055,0.67593,0.76048,0.38738,1.62044,1.40046,1.48681,0.0018812,0.0018812,0.0018812
8,421.745,1.70544,1.51156,1.50012,0.68427,0.69753,0.70074,0.34879,1.72582,1.41557,1.53811,0.0018614,0.0018614,0.0018614
9,470.473,1.6637,1.47789,1.4849,0.70302,0.69753,0.74626,0.41972,1.55831,1.32692,1.43899,0.0018416,0.0018416,0.0018416
10,519.829,1.65052,1.43786,1.47435,0.71817,0.76235,0.78587,0.43439,1.557,1.2928,1.44207,0.0018218,0.0018218,0.0018218
11,567.967,1.61069,1.429,1.45159,0.71706,0.69616,0.74952,0.3806,1.5786,1.47707,1.4781,0.001802,0.001802,0.001802
12,617.304,1.64351,1.43874,1.45919,0.81377,0.66084,0.77371,0.407,1.59411,1.2264,1.41424,0.0017822,0.0017822,0.0017822
13,665.287,1.59505,1.36275,1.44656,0.7156,0.72225,0.7502,0.41784,1.54375,1.28129,1.42619,0.0017624,0.0017624,0.0017624
14,714.871,1.58335,1.33953,1.41916,0.6814,0.70988,0.7256,0.3961,1.57533,1.35779,1.46842,0.0017426,0.0017426,0.0017426
15,762.949,1.58059,1.31085,1.43247,0.75374,0.69136,0.73794,0.40574,1.60209,1.30442,1.46399,0.0017228,0.0017228,0.0017228
16,812.619,1.56596,1.31667,1.42205,0.77999,0.7769,0.83133,0.44497,1.48137,1.16907,1.38728,0.001703,0.001703,0.001703
17,860.859,1.53646,1.27807,1.39808,0.77565,0.71605,0.79666,0.46066,1.4586,1.15566,1.37385,0.0016832,0.0016832,0.0016832
18,911.057,1.53086,1.2726,1.40386,0.79141,0.78704,0.83505,0.46716,1.47809,1.09946,1.37393,0.0016634,0.0016634,0.0016634
19,959.713,1.5285,1.28486,1.39883,0.76238,0.7963,0.80907,0.47696,1.43247,1.06784,1.33919,0.0016436,0.0016436,0.0016436
20,1009.84,1.50032,1.24552,1.36388,0.8007,0.8184,0.83599,0.47557,1.46983,1.12984,1.37493,0.0016238,0.0016238,0.0016238
21,1059.27,1.49151,1.22108,1.37897,0.77065,0.79012,0.82699,0.47725,1.4583,1.04578,1.37488,0.001604,0.001604,0.001604
22,1110.21,1.52242,1.2278,1.39283,0.81556,0.76852,0.8415,0.51718,1.39651,1.08085,1.34047,0.0015842,0.0015842,0.0015842
23,1159.91,1.48619,1.20152,1.38231,0.6415,0.57436,0.60008,0.32594,1.73307,1.53375,1.55035,0.0015644,0.0015644,0.0015644
24,1211.31,1.46958,1.17041,1.34938,0.77028,0.77469,0.8345,0.44286,1.58888,1.10756,1.43555,0.0015446,0.0015446,0.0015446
25,1262.64,1.44769,1.1642,1.34924,0.8143,0.81207,0.86041,0.50811,1.39991,0.98039,1.32888,0.0015248,0.0015248,0.0015248
26,1312.4,1.45059,1.14364,1.35268,0.82787,0.80247,0.86053,0.51325,1.38557,0.96333,1.32304,0.001505,0.001505,0.001505
27,1362.9,1.42137,1.10564,1.32718,0.8246,0.80247,0.85684,0.5022,1.38724,1.00397,1.30715,0.0014852,0.0014852,0.0014852
28,1410.47,1.44564,1.15073,1.34093,0.79538,0.80381,0.83752,0.45018,1.55288,1.10216,1.38634,0.0014654,0.0014654,0.0014654
29,1459.6,1.43688,1.12559,1.32862,0.81368,0.71296,0.77735,0.42343,1.66827,1.13163,1.48415,0.0014456,0.0014456,0.0014456
30,1507.78,1.43542,1.09061,1.31481,0.82152,0.82099,0.8661,0.5386,1.33053,0.96165,1.30047,0.0014258,0.0014258,0.0014258
31,1557.51,1.42219,1.09592,1.32259,0.83237,0.82407,0.86544,0.53264,1.31219,0.92118,1.29994,0.001406,0.001406,0.001406
32,1604.7,1.39536,1.06479,1.31214,0.86312,0.85802,0.90458,0.55512,1.31765,0.87198,1.29778,0.0013862,0.0013862,0.0013862
33,1654.25,1.39286,1.06635,1.30166,0.85142,0.8179,0.87255,0.55943,1.26574,0.93058,1.2567,0.0013664,0.0013664,0.0013664
34,1701.93,1.37613,1.04477,1.29825,0.80004,0.82738,0.86885,0.55247,1.26941,0.90577,1.26748,0.0013466,0.0013466,0.0013466
35,1749.72,1.37712,1.04628,1.29451,0.79725,0.80247,0.84623,0.51883,1.33931,0.98347,1.28382,0.0013268,0.0013268,0.0013268
36,1798.74,1.3778,1.05252,1.28691,0.87332,0.83642,0.89601,0.57621,1.26638,0.8283,1.24528,0.001307,0.001307,0.001307
37,1846.34,1.3537,1.0176,1.28175,0.81401,0.84877,0.87548,0.55034,1.29824,0.86392,1.26401,0.0012872,0.0012872,0.0012872
38,1894.99,1.39542,1.04174,1.3139,0.82508,0.86728,0.88742,0.55961,1.29227,0.86778,1.25556,0.0012674,0.0012674,0.0012674
39,1942.39,1.38428,1.02095,1.29241,0.81316,0.84568,0.88924,0.56571,1.27405,0.8914,1.26355,0.0012476,0.0012476,0.0012476
40,1991.56,1.35751,1.01064,1.29165,0.89501,0.84568,0.90828,0.58519,1.29742,0.8356,1.25586,0.0012278,0.0012278,0.0012278
41,2038.96,1.34652,0.9717,1.27082,0.88969,0.8179,0.90905,0.56806,1.31463,0.86498,1.27092,0.001208,0.001208,0.001208
42,2087.43,1.33787,0.9951,1.26756,0.81698,0.81286,0.8683,0.50876,1.3961,0.99339,1.29998,0.0011882,0.0011882,0.0011882
43,2135.05,1.33835,1.0034,1.26977,0.85809,0.83984,0.89364,0.56323,1.31566,0.83843,1.27197,0.0011684,0.0011684,0.0011684
44,2182.2,1.32041,0.96924,1.26776,0.86074,0.83951,0.88929,0.52278,1.46317,0.95393,1.29721,0.0011486,0.0011486,0.0011486
45,2231.13,1.29059,0.94204,1.24825,0.88787,0.83025,0.90584,0.58591,1.2605,0.84305,1.21818,0.0011288,0.0011288,0.0011288
46,2279.73,1.29435,0.94133,1.24907,0.89014,0.82099,0.88056,0.52757,1.42445,0.91836,1.32248,0.001109,0.001109,0.001109
47,2329.5,1.3165,0.95686,1.25378,0.87123,0.89793,0.92211,0.60511,1.24733,0.76259,1.23061,0.0010892,0.0010892,0.0010892
48,2377.74,1.30352,0.95324,1.24857,0.85411,0.85494,0.91586,0.5869,1.26169,0.83002,1.25655,0.0010694,0.0010694,0.0010694
49,2426.54,1.3028,0.92542,1.24795,0.88248,0.83432,0.89834,0.59227,1.25041,0.81623,1.21639,0.0010496,0.0010496,0.0010496
50,2474.07,1.27916,0.91373,1.24298,0.87584,0.85185,0.9066,0.59098,1.26424,0.83623,1.23858,0.0010298,0.0010298,0.0010298
51,2523.12,1.28005,0.93105,1.23025,0.84086,0.89697,0.89814,0.58121,1.28564,0.81232,1.25231,0.00101,0.00101,0.00101
52,2570.83,1.29886,0.90936,1.24707,0.89053,0.84568,0.9164,0.60884,1.21101,0.73417,1.21267,0.0009902,0.0009902,0.0009902
53,2619.43,1.25931,0.90115,1.22428,0.86838,0.87037,0.90703,0.57654,1.27618,0.79825,1.24061,0.0009704,0.0009704,0.0009704
54,2667.08,1.27727,0.9007,1.22985,0.89779,0.84568,0.91808,0.62081,1.21032,0.73996,1.19019,0.0009506,0.0009506,0.0009506
55,2714.42,1.26413,0.89909,1.21957,0.89567,0.87444,0.91987,0.6154,1.20706,0.77512,1.19368,0.0009308,0.0009308,0.0009308
56,2763.36,1.26293,0.89255,1.23003,0.87805,0.8858,0.92149,0.61414,1.21255,0.76152,1.20399,0.000911,0.000911,0.000911
57,2811.7,1.26029,0.89117,1.22841,0.88341,0.90741,0.92655,0.61227,1.19835,0.72103,1.20789,0.0008912,0.0008912,0.0008912
58,2861.35,1.23772,0.878,1.2135,0.89466,0.8858,0.92835,0.61868,1.16912,0.70476,1.18655,0.0008714,0.0008714,0.0008714
59,2909.21,1.24814,0.88269,1.2123,0.88317,0.89506,0.93553,0.62097,1.21658,0.73114,1.20058,0.0008516,0.0008516,0.0008516
60,2959.36,1.23288,0.86987,1.20169,0.8918,0.86489,0.92003,0.613,1.20572,0.7222,1.18243,0.0008318,0.0008318,0.0008318
61,3007.74,1.24167,0.85756,1.21487,0.91092,0.89815,0.92972,0.62251,1.16893,0.70018,1.18666,0.000812,0.000812,0.000812
62,3055.87,1.23377,0.86381,1.20523,0.92283,0.90741,0.94703,0.64093,1.15764,0.67496,1.15472,0.0007922,0.0007922,0.0007922
63,3103.07,1.20923,0.8399,1.192,0.92952,0.88272,0.93677,0.62185,1.18557,0.68681,1.17647,0.0007724,0.0007724,0.0007724
64,3151.53,1.21587,0.83713,1.19286,0.89263,0.87037,0.93285,0.60548,1.22154,0.70928,1.18616,0.0007526,0.0007526,0.0007526
65,3198.93,1.20645,0.83021,1.19683,0.92716,0.88272,0.93505,0.63184,1.16616,0.67267,1.17301,0.0007328,0.0007328,0.0007328
66,3247.75,1.19685,0.82987,1.18569,0.90418,0.90282,0.93997,0.64098,1.15047,0.68271,1.16164,0.000713,0.000713,0.000713
67,3294.8,1.18555,0.82532,1.18482,0.92185,0.9102,0.93569,0.62091,1.17666,0.69205,1.18236,0.0006932,0.0006932,0.0006932
68,3342.6,1.18583,0.8103,1.18316,0.88511,0.91667,0.94159,0.63409,1.17736,0.68223,1.17058,0.0006734,0.0006734,0.0006734
69,3391.12,1.18101,0.79393,1.17127,0.90007,0.88957,0.9407,0.62591,1.19014,0.6976,1.16964,0.0006536,0.0006536,0.0006536
70,3438.63,1.19718,0.80415,1.17579,0.89412,0.88614,0.93842,0.64795,1.13906,0.68007,1.14319,0.0006338,0.0006338,0.0006338
71,3487.71,1.19463,0.80239,1.1791,0.91933,0.89815,0.94755,0.64815,1.15874,0.6733,1.15855,0.000614,0.000614,0.000614
72,3535.14,1.17366,0.79298,1.16778,0.92872,0.89198,0.93719,0.64304,1.14748,0.66313,1.15558,0.0005942,0.0005942,0.0005942
73,3584.58,1.17603,0.7967,1.16346,0.89546,0.89889,0.93096,0.62867,1.18477,0.67726,1.17564,0.0005744,0.0005744,0.0005744
74,3631.91,1.16519,0.78371,1.16701,0.88424,0.89815,0.93296,0.62805,1.17092,0.66287,1.17578,0.0005546,0.0005546,0.0005546
75,3681.25,1.16942,0.78499,1.17378,0.90646,0.89723,0.93242,0.6361,1.16311,0.66645,1.15823,0.0005348,0.0005348,0.0005348
76,3729.49,1.14801,0.76563,1.15397,0.90441,0.90432,0.93792,0.65352,1.12993,0.637,1.14955,0.000515,0.000515,0.000515
77,3778.91,1.14667,0.7629,1.15395,0.93524,0.87654,0.93934,0.64614,1.15636,0.62706,1.14867,0.0004952,0.0004952,0.0004952
78,3827,1.1491,0.74356,1.15731,0.92051,0.88889,0.95007,0.64959,1.1514,0.6316,1.15028,0.0004754,0.0004754,0.0004754
79,3875.89,1.12774,0.74301,1.14606,0.93382,0.87097,0.94691,0.65777,1.13287,0.6143,1.13886,0.0004556,0.0004556,0.0004556
80,3924.38,1.13149,0.75696,1.15138,0.91612,0.9102,0.9525,0.66038,1.12576,0.61968,1.13519,0.0004358,0.0004358,0.0004358
81,3973.59,1.12172,0.74337,1.15272,0.91471,0.89369,0.94605,0.66218,1.1185,0.60679,1.13348,0.000416,0.000416,0.000416
